concerned,P\k@n-'s3nd\[CVC][CVVCC]\[k@n][s3:nd],,,,,cC,CR CRCC,CR CRCC,01,+/d/,CR CRC,V,,,,2,
unless,"P\@n-'lEs\[VC][CVC]\[@n][lEs]\S\Vn-'lEs\[VC][CVC]\[Vn][lEs]\S\H-'lEs\[S][CVC]\[n,][lEs]\S\""Vn-'lEs\[VC][CVC]\[Vn][lEs]",,,,,cC,VC CVC,VC CVC,01,0,0,,Conjunction,,,9,
until,"P\@n-'tIl\[VC][CVC]\[@n][tIl]\S\Un-'tIl\[VC][CVC]\[Un][tIl]\S\H-'tIl\[S][CVC]\[n,][tIl]",,,,,cC,VC CVM,VC CVM,01,0,0,,Prep/Conj,,,87,
unzip,P\Vn-'zIp\[VC][CVC]\[Vn][zIp],,,,cC,,VC CVC,VC CVM,01,0,0,V,,,,2,
upstairs,"P\""Vp-'st8z\[VC][CCVVC]\[Vp][stE@z]\S\'Vp-st8z\[VC][CCVVC]\[Vp][stE@z]\S\Vp-'st8z\[VC][CCVVC]\[Vp][stE@z]",,,,,cC,VC CCVVCC,VC CCVMC,01,0,0,,Adverb,,,140,
upstairs,"P\""Vp-'st8z\[VC][CCVVC]\[Vp][stE@z]\S\Vp-'st8z\[VC][CCVVC]\[Vp][stE@z]\S\'Vp-st8z\[VC][CCVVC]\[Vp][stE@z]",,,,,cC,VC CCVVCC,VC CCVMC,01,0,0,N,,,,46,
yourself,P\j$-'sElf\[CVV][CVCC]\[jO:][sElf],,,,,cC,CVVC CVMC,CVR CVMC,01,0,0,,Pronoun,,,250,
acting,P\'{k-tIN\[VC][CVC]\[&k][tIN],,,,Cc,,VC CVM,VC CVC,10,+/IG/,VCC,V,,,,18,
action,"P\'{k-SH\[VC][CS]\[&k][Sn,]",,,,,Cc,VC CVCC,VC CR,10,0,0,N,,,,2,
active,P\'{k-tIv\[VC][CVC]\[&k][tIv],,,,,Cc,VC CRC,VC CVC,10,0,0,A,,,,6,
actor,P\'{k-t@R\[VC][CVC]\[&k][t@r*],,,,,Cc,VC CR,VC CR,10,0,0,N,,,,3,
after,P\'#f-t@R\[VVC][CVC]\[A:f][t@r*],,,,,Cc,VC CR,VC CR,10,0,0,,Preposition,,,78,
answer,P\'#n-s@R\[VVC][CVC]\[A:n][s@r*],,,,,Cc,VM CR,VM CR,10,0,0,"N, V",,,15 V; 7 N,22,
backing,P\'b{-kIN\[CV][CVC]\[b&][kIN],,,,,Cc,CV CVM,CV CVC,10,+/IG/,CVC,V,,,,7,
bantam,P\'b{n-t@m\[CVC][CVC]\[b&n][t@m],,,,,Cc,CVM CR,CVM CVC,10,0,0,N,,,,8,
barber,P\'b#-b@R\[CVV][CVC]\[bA:][b@r*],,,,,Cc,CVVC CR,CVM CR,10,0,0,N,,,,3,
bashful,"P\'b{S-fUl\[CVC][CVC]\[b&S][fUl]\P\'b{S-fP\[CVC][CS]\[b&S][fl,]",,,,Cc,,CVC CR,CVC CR,10,0,0,A,,,,2,
basket,P\'b#-skIt\[CVV][CCVC]\[bA:][skIt],,,,,Cc,CVC CVC,CVC CVCC,10,0,0,N,,,,109,
bended,P\'bEn-dId\[CVC][CVC]\[bEn][dId],,,,Cc,,CVM CVC,CVM CVC,10,+/id/,CVMC,V,,,,2,
better,P\'bE-t@R\[CV][CVC]\[bE][t@r*],,,,,Cc,CV CR,CV CR,10,0,0,A,,,,348,
blinking,P\'blIN-kIN\[CCVC][CVC]\[blIN][kIN],,,,Cc,,CCVVC CVM,CCVM CVC,10,+/IG/,CCVCC,V,,,,5,
boring,P\'b$-rIN\[CVV][CVC]\[bO:][rIN],,,,Cc,,CVV CVM,CVVM VC,10,+/IG/,CVVC,A,,,,9,
breakfast,P\'brEk-f@st\[CCVC][CVCC]\[brEk][f@st],,,,,Cc,CCVC CVCC,CCVC CVCC,10,0,0,N,,,,99,
brilliant,P\'brIl-j@nt\[CCVC][CVCC]\[brIl][j@nt],,,,,Cc,CCVM CRC,CCVM CRC,10,0,0,A,,,,2,
building,P\'bIl-dIN\[CVC][CVC]\[bIl][dIN],,,,,Cc,CVM CVM,CVM CVC,10,0,0,N,,,,8,
bumper,P\'bVm-p@R\[CVC][CVC]\[bVm][p@r*],,,,,Cc,CVM CR,CVM CR,10,0,0,N,,,,4,
bundle,"P\'bVn-dP\[CVC][CS]\[bVn][dl,]",,,,,Cc,CVM CR,CVM CR,10,0,0,N,,,,2,
bunting,P\'bVn-tIN\[CVC][CVC]\[bVn][tIN],,,,,Cc,CVM CVM,CVM CVCC,10,0,0,N,,,,2,
burning,P\'b3-nIN\[CVV][CVC]\[b3:][nIN],,,,Cc,,CR CVM,CVM CVC,10,+/IG/,CRC,V,,,,5,
business,"P\'bIz-nIs\[CVC][CVC]\[bIz][nIs]\S\'bI-zH-Is\[CV][CS][VC]\[bI][zn,][Is]",,,,,Cc,CVC CVC,CVC CVC,10,0,0,N,,,,3,
buster,P\'bV-st@R\[CV][CCVC]\[bV][st@r*],,,,,Cc,CVC CR,CVC CR,10,0,0,,Name,,,9,
cactus,P\'k{k-t@s\[CVC][CVC]\[k&k][t@s],,,,,Cc,CVC CVC,CVC CVC,10,0,0,N,,,,4,
calling,P\'k$-lIN\[CVV][CVC]\[kO:][lIN],,,,,Cc,CVV CVM,CV CVM,10,+/IG/,CVVC,V,,,,33,
camping,P\'k{m-pIN\[CVC][CVC]\[k&m][pIN],,,,Cc,,CVM CVM,CVM CVM,10,+/IG/,CVMC,V,,,,1,
cancel,"P\'k{n-sP\[CVC][CS]\[k&n][sl,]",,,,,Cc,CVM CR,CVM CR,10,0,0,V,,,,1,
candle,"P\'k{n-dP\[CVC][CS]\[k&n][dl,]",,,,,Cc,CVM CR,CVM CR,10,0,0,N,,,,15,
captain,P\'k{p-tIn\[CVC][CVC]\[k&p][tIn],,,,,Cc,CVC CVC,CVC CVC,10,0,0,N,,,,1,
careful,"P\'k8-fUl\[CVV][CVC]\[kE@][fUl]\P\'k8-fP\[CVV][CS]\[kE@][fl,]",,,,Cc,,CVVC CR,CVM CR,10,0,0,A,,,,292,
carpet,P\'k#-pIt\[CVV][CVC]\[kA:][pIt],,,,,Cc,CVVC CVC,CVM CVC,10,0,0,N,,,,23,
carton,"P\'k#-t@n\[CVV][CVC]\[kA:][t@n]\P\'k#-tH\[CVV][CS]\[kA:][tn,]",,,,,Cc,CVVC CR,CVM CVC,10,0,0,N,,,,7,
charming,P\'J#-mIN\[CVV][CVC]\[tSA:][mIN],,,,Cc,,CVVC CVM,CVM CVM,10,+/IG/,CVVCC,A,,,,1,
cheerful,"P\'J7-fUl\[CVV][CVC]\[tSI@][fUl]\P\'J7-fP\[CVV][CS]\[tSI@][fl,]",,,,Cc,,CVVC CR,CVVM CR,10,0,0,A,,,,6,
circle,"P\'s3-kP\[CVV][CS]\[s3:][kl,]",,,,,Cc,CR CR,CVM CR,10,0,0,N,,,,127,
circus,P\'s3-k@s\[CVV][CVC]\[s3:][k@s],,,,,Cc,CR CVC,CVM CVC,10,0,0,N,,,,3,
clearance,"P\'kl7-r@ns\[CCVV][CVCC]\[klI@][r@ns]\P\'kl7-rHs\[CCVV][CSC]\[klI@][rn,s]",,,,,Cc,CCVV CVCC,CCVV CRC,10,0,0,N,,,,1,
comfort,P\'kVm-f@t\[CVC][CVC]\[kVm][f@t],,,,,Cc,CVM CRC,CVM CRC,10,0,0,N,,,,2,
concept,P\'kQn-sEpt\[CVC][CVCC]\[kOn][sEpt],,,,,Cc,CVM CVCC,CVM CVCC,10,0,0,N,,,,2,
concert,P\'kQn-s@t\[CVC][CVC]\[kOn][s@t],k'ans.Rt|k.xns'Rt,,,,Cc,CVM CRC,CVM CRC,10,0,0,N,,,,3,
constant,"P\'kQn-st@nt\[CVC][CCVCC]\[kOn][st@nt]\P\'kQn-stHt\[CVC][CCSC]\[kOn][stn,t]",,,,,Cc,CVM CCRC,CVM CCRC,10,0,0,A,,,,1,
corner,P\'k$-n@R\[CVV][CVC]\[kO:][n@r*],,,,,Cc,CVVC CR,CVM CR,10,0,0,N,,,,24,
couldn't,"P\'kU-dHt\[CV][CSC]\[kU][dn,t]",,,,,Cc,CV CR,CV CRC,10,0,0,V,,,,28,
courting,P\'k$-tIN\[CVV][CVC]\[kO:][tIN],,,,Cc,,CVVC CVM,CVM CVC,10,+/IG/,CVVCC,V,,,,1,
critter,P\'krI-t@R\[CCV][CVC]\[krI][t@r*],,,,Cc,,CCV CR,CCV CR,10,0,0,N,,,,1,
crumble,"P\'krVm-bP\[CCVC][CS]\[krVm][bl,]",,,,,Cc,CCVM CR,CCVM CR,10,0,0,V,,,,1,
crusted,P\'krV-stId\[CCV][CCVC]\[krV][stId],,,,,Cc,CCV CCVC,CCVC CVC,10,+/id/,CCVCC,V,,,,1,
current,"P\'kV-r@nt\[CV][CVCC]\[kV][r@nt]\P\'kV-rHt\[CV][CSC]\[kV][rn,t]",,,,,Cc,CR CRC,CR VCC,10,0,0,N,,,,1,
curtain,"P\'k3-tH\[CVV][CS]\[k3:][tn,]\S\'k3-t@n\[CVV][CVC]\[k3:][t@n]\S\'k3-tIn\[CVV][CVC]\[k3:][tIn]",,,,,Cc,CR CVC,CVM CVC,10,0,0,N,,,,13,
curtains,"P\'k3-tHz\[CVV][CSC]\[k3:][tn,z]\S\'k3-t@nz\[CVV][CVCC]\[k3:][t@nz]\S\'k3-tInz\[CVV][CVCC]\[k3:][tInz]",,,,Cc,,CR CVMC,CVM CVCC,10,+/z/,CR CVM,N,,,,6,
darling,P\'d#-lIN\[CVV][CVC]\[dA:][lIN],,,,,Cc,CVVC CVM,CVM CVC,10,0,0,N,,,,10,
didn't,"P\'dI-dHt\[CV][CSC]\[dI][dn,t]\S\'dI-dH\[CV][CS]\[dI][dn,]",,,,,Cc,CV CRC,CV CVC,10,0,0,V,,,,373,
doctor,P\'dQk-t@R\[CVC][CVC]\[dOk][t@r*],,,,,Cc,CVC CR,CVC CR,10,0,0,N,,,,30,
doesn't,"P\'dV-zHt\[CV][CSC]\[dV][zn,t]\S\'dV-zH\[CV][CS]\[dV][zn,]",,,,,Cc,CV CRC,CV CRC,10,0,0,V,,,,299,
dreadful,"P\'drEd-fUl\[CCVC][CVC]\[drEd][fUl]\P\'drEd-fP\[CCVC][CS]\[drEd][fl,]",,,,Cc,,CCVC CR,CCVC CR,10,0,0,A,,,,2,
drinking,P\'drIN-kIN\[CCVC][CVC]\[drIN][kIN],,,,Cc,,CCVM CVM,CCVM CVC,10,+/IG/,CCVMC,V,,,,50,
drunken,"P\'drVN-k@n\[CCVC][CVC]\[drVN][k@n]\P\'drVN-kH\[CCVC][CS]\[drVN][kn,]",,,,,Cc,CCVM CR,CCVM CVC,10,+/N/,CCVMC,A,,,,2,
dumpling,P\'dVm-plIN\[CVC][CCVC]\[dVm][plIN],,,,,Cc,CVM CCVM,CVMC CVC,10,0,0,N,,,,1,
dungeon,"P\'dVn-_@n\[CVC][CVC]\[dVn][dZ@n]\P\'dVn-Z@n\[CVC][CVC]\[dVn][Z@n]\P\'dVn-_H\[CVC][CS]\[dVn][dZn,]",,,,,Cc,CVM CR,CVM CR,10,0,0,N,,,,1,
earring,P\'7-rIN\[VV][CVC]\[I@][rIN],,,,,Cc,VV CVM,VV CVC,10,0,0,N,,,,3,
engine,P\'En-_In\[VC][CVC]\[En][dZIn]\P\'En-ZIn\[VC][CVC]\[En][ZIn],,,,,Cc,VM CVC,VM CVC,10,0,0,N,,,,1,
enter,P\'En-t@R\[VC][CVC]\[En][t@r*],,,,,Cc,VM CR,VM CR,10,0,0,V,,,,1,
entrance,"P\'En-tr@ns\[VC][CCVCC]\[En][tr@ns]\P\'En-trHs\[VC][CCSC]\[En][trn,s]",,,,,Cc,VM CCRC,VM CCRC,10,0,0,N,,,,1,
farmer,P\'f#-m@R\[CVV][CVC]\[fA:][m@r*],,,,,Cc,CVVC CR,CVM CR,10,0,0,N,,,,59,
filling,P\'fI-lIN\[CV][CVC]\[fI][lIN],,,,Cc,,CV CVM,CV CVC,10,+/IG/,CVM,V,,,,6,
finger,P\'fIN-g@R\[CVC][CVC]\[fIN][g@r*],,,,,Cc,CVVC CR,CVM CR,10,0,0,N,,,,149,
forward,P\'f$-w@d\[CVV][CVC]\[fO:][w@d],,,,,Cc,CVVC CRC,CVM CRC,10,0,0,,Adverb,,,20,
friction,"P\'frIk-SH\[CCVC][CS]\[frIk][Sn,]",,,,,Cc,CCVC CR,CCVC CR,10,0,0,N,,,,1,
frosting,P\'frQ-stIN\[CCV][CCVC]\[frO][stIN],,,,Cc,,CCVV CCVM,CCVC CVC,10,0,0,N,,,,1,
fumble,"P\'fVm-bP\[CVC][CS]\[fVm][bl,]",,,,,Cc,CVM CR,CVM CR,10,0,0,V,,,,3,
further,P\'f3-D@R\[CVV][CVC]\[f3:][D@r*],,,,,Cc,CR CR,CVM CR,10,0,0,,Adverb,,,10,
garbage,P\'g#-bI_\[CVV][CVC]\[gA:][bIdZ],,,,Cc,,CVVC CVC,CVM CVC,10,0,0,N,,,,10,
garden,"P\'g#-dH\[CVV][CS]\[gA:][dn,]",,,,Cc,,CVVC CVM,CVM CVC,10,0,0,N,,,,34,
garland,P\'g#-l@nd\[CVV][CVCC]\[gA:][l@nd],,,,,Cc,CVVC CRC,CVM CRC,10,0,0,N,,,,1,
garlic,P\'g#-lIk\[CVV][CVC]\[gA:][lIk],,,,,Cc,CVVC CVC,CVM CVC,10,0,0,N,,,,2,
gentle,"P\'_En-tP\[CVC][CS]\[dZEn][tl,]",,,,,Cc,CVM CR,CVM CR,10,0,0,A,,,,57,
girder,P\'g3-d@R\[CVV][CVC]\[g3:][d@r*],,,,,Cc,CR CR,CVM CR,10,0,0,N,,,,1,
goodness,P\'gUd-nIs\[CVC][CVC]\[gUd][nIs]\S\'gUd-n@s\[CVC][CVC]\[gUd][n@s],,,,Cc,,CVC CVC,CVC CVC,10,0,0,N,,,,283,
gorgeous,P\'g$-_@s\[CVV][CVC]\[gO:][dZ@s],,,,,Cc,CVVC CVC,CVM CVC,10,0,0,A,,,,7,
hadn't,"P\'h{-dHt\[CV][CSC]\[h&][dn,t]\S\'h{-dH\[CV][CS]\[h&][dn,]",,,,,Cc,CV CRC,CV CRC,10,0,0,V,,,,3,
handle,"P\'h{n-dP\[CVC][CS]\[h&n][dl,]",,,,,Cc,CVM CR,CVM CR,10,0,0,"N, V",,,15 N; 6 V,21,
handsome,P\'h{n-s@m\[CVC][CVC]\[h&n][s@m]\S\'h{nt-s@m\[CVCC][CVC]\[h&nt][s@m],,,,,Cc,CVM CVC,CVM CVC,10,0,0,A,,,,39,
harmless,P\'h#m-lIs\[CVVC][CVC]\[hA:m][lIs]\S\'h#m-l@s\[CVVC][CVC]\[hA:m][l@s],,,,Cc,,CVVCC CVC,CVMC CVC,10,0,0,A,,,,1,
harvest,P\'h#-vIst\[CVV][CVCC]\[hA:][vIst],,,,,Cc,CVVC CVCC,CVM CVCC,10,0,0,N,,,,1,
hasn't,"P\'h{-zHt\[CV][CSC]\[h&][zn,t]\S\'h{-zH\[CV][CS]\[h&][zn,]",,,,,Cc,CV CRC,CV CRC,10,0,0,V,,,,7,
haven't,"P\'h{-vHt\[CV][CSC]\[h&][vn,t]\S\'h{-vH\[CV][CS]\[h&][vn,]",,,,,Cc,CV CRC,CV CRC,10,0,0,V,,,,65,
hearing,P\'h7-rIN\[CVV][CVC]\[hI@][rIN],,,,Cc,,CVV CVM,CVM VC,10,+/IG/,CVVC,N,,,,4,
helmet,P\'hEl-mIt\[CVC][CVC]\[hEl][mIt],,,,,Cc,CVM CVC,CVM CVC,10,0,0,N,,,,3,
helper,P\'hEl-p@R\[CVC][CVC]\[hEl][p@r*],,,,,Cc,CVM CR,CVM CR,10,0,0,N,,,,16,
helpful,"P\'hElp-fUl\[CVCC][CVC]\[hElp][fUl]\P\'hElp-fP\[CVCC][CS]\[hElp][fl,]",,,,Cc,,CVMC CR,CVMC CR,10,0,0,A,,,,1,
helping,P\'hEl-pIN\[CVC][CVC]\[hEl][pIN],,,,Cc,,CVM CVM,CVM CVC,10,+/IG/,CVMC,V ,,,,21,
here're,P\'h7-r@R\[CVV][CVC]\[hI@][r@r*],,,,Cc,,CVV CR,CVM R,10,0,0,V,,,,1,
hundred,P\'hVn-dr@d\[CVC][CCVC]\[hVn][dr@d]\S\'hVn-drId\[CVC][CCVC]\[hVn][drId],,,,,Cc,CVM CCVC,CVM CCVC,10,0,0,N,,,,12,
hunting,P\'hVn-tIN\[CVC][CVC]\[hVn][tIN],,,,Cc,,CVM CVM,CVM CVC,10,+/IG/,CVMC,V,,,,3,
husband,P\'hVz-b@nd\[CVC][CVCC]\[hVz][b@nd],,,,,Cc,CVC CVCC,CVC CVCC,10,0,0,N,,,,2,
hymnal,"P\'hIm-n@l\[CVC][CVC]\[hIm][n@l]\P\'hIm-nP\[CVC][CS]\[hIm][nl,]",,,,,Cc,CVM CR,CVM CR,10,0,0,N,,,,3,
infant,P\'In-f@nt\[VC][CVCC]\[In][f@nt],,,,,Cc,VM CRC,VM CRC,10,0,0,N,,,,4,
inning,P\'I-nIN\[V][CVC]\[I][nIN],,,,,Cc,V CVM,V CVC,10,0,0,N,,,,1,
interest,P\'In-tr@st\[VC][CCVCC]\[In][tr@st]\S\'In-t@-rEst\[VC][CV][CVCC]\[In][t@][rEst]\S\'In-trEst\[VC][CCVCC]\[In][trEst]\S\'In-trIst\[VC][CCVCC]\[In][trIst],,,,,Cc,VM CCVCC,VM CCVCC,10,0,0,N,,,,6,
isn't,"P\'I-zHt\[V][CSC]\[I][zn,t]\S\'I-zH\[V][CS]\[I][zn,]",,,,,Cc,V CRC,V CRC,10,0,0,V,,,,280,
it'd,P\'I-t@d\[V][CVC]\[I][t@d],,,,Cc,,V CVC,VC,10,0,0,V,,,,1,
it'll,"P\'I-tP\[V][CS]\[I][tl,]",,,,Cc,,V CR,V CR,10,0,0,V,,,,74,
jasmine,P\'_{s-mIn\[CVC][CVC]\[dZ&s][mIn]\S\'_{z-mIn\[CVC][CVC]\[dZ&z][mIn],,,,,Cc,CVC CVC,CVC CVC,10,0,0, ,Name,,,9,
jingle,"P\'_IN-gP\[CVC][CS]\[dZIN][gl,]",,,,,Cc,CVVM CR,CVM CR,10,0,0,V,,,,2,
jumble,"P\'_Vm-bP\[CVC][CS]\[dZVm][bl,]",,,,,Cc,CVM CR,CVM CR,10,0,0,V,,,,1,
jumper,P\'_Vm-p@R\[CVC][CVC]\[dZVm][p@r*],,,,,Cc,CVM CR,CVM CR,10,0,0,N,,,,4,
jungle,"P\'_VN-gP\[CVC][CS]\[dZVN][gl,]",,,,,Cc,CVM CR,CVM CR,10,0,0,N,,,,12,
ketchup,P\'kE-J@p\[CV][CVC]\[kE][tS@p],,,,,Cc,CVC VC,CVC VC,10,0,0,N,,,,3,
killing,P\'kI-lIN\[CV][CVC]\[kI][lIN],,,,Cc,,CV CVM,CV CVC,10,+/IG/,CVM,V,,,,3,
kingdom,P\'kIN-d@m\[CVC][CVC]\[kIN][d@m],,,,,Cc,CVM CVC,CVM CR,10,0,0,N,,,,2,
landed,P\'l{n-dId\[CVC][CVC]\[l&n][dId],,,,Cc,,CVM CVC,CVM CVC,10,+/id/,CVMC,V,,,,5,
landing,P\'l{n-dIN\[CVC][CVC]\[l&n][dIN],,,,,Cc,CVM CVM,CVM CVC,10,+/IG/,CVMC,N,,,,1,
lantern,P\'l{n-t@n\[CVC][CVC]\[l&n][t@n],,,,,Cc,CVM CRC,CVM CRC,10,0,0,N,,,,1,
learning,P\'l3-nIN\[CVV][CVC]\[l3:][nIN],,,,Cc,,CR CVM,CVM CVC,10,+/IG/,CRC,V,,,,18,
lobster,P\'lQb-st@R\[CVC][CCVC]\[lOb][st@r*],,,,,Cc,CVC CCR,CVC CCR,10,0,0,N,,,,3,
madman,P\'m{d-m@n\[CVC][CVC]\[m&d][m@n],,,,,Cc,CVC CVC,CVC CVC,10,0,0,N,,,,1,1 CVC; 0 CVC
magnet,P\'m{g-nIt\[CVC][CVC]\[m&g][nIt],,,,,Cc,CVC CVC,CVC CVC,10,0,0,N,,,,14,
marble,"P\'m#-bP\[CVV][CS]\[mA:][bl,]",,,,,Cc,CVVC CR,CVM CR,10,0,0,N,,,,2,
master,P\'m#-st@R\[CVV][CCVC]\[mA:][st@r*],,,,,Cc,CVC CR,CVC CR,10,0,0,N,,,,4,
matching,P\'m{-JIN\[CV][CVC]\[m&][tSIN],,,,Cc,,CV CVM,CV CVC,10,+/IG/,CVC,V,,,,4,
melting,P\'mEl-tIN\[CVC][CVC]\[mEl][tIN],,,,Cc,,CVM CVM,CVM CVC,10,+/IG/,CVMC,V,,,,1,
mention,"P\'mEn-SH\[CVC][CS]\[mEn][Sn,]",,,,,Cc,CVM CR,CVM CR,10,0,0,N,,,,3,
merchant,"P\'m3-J@nt\[CVV][CVCC]\[m3:][tS@nt]\P\'m3-JHt\[CVV][CSC]\[m3:][tSn,t]",,,,,Cc,CR CRC,CVM CRC,10,0,0,N,,,,1,
million,P\'mI-lj@n\[CV][CCVC]\[mI][lj@n],,,,,Cc,CVM CVC,CVM CVC,10,0,0,N,,,,2,
mixer,P\'mIk-s@R\[CVC][CVC]\[mIk][s@r*],,,,,Cc,CVC CR,CVC CR,10,0,0,N,,,,2,
monster,P\'mQn-st@R\[CVC][CCVC]\[mOn][st@r*],,,,,Cc,CVM CR,CVM CCR,10,0,0,N,,,,78,
monstrous,P\'mQns-tr@s\[CVCC][CCVC]\[mOns][tr@s],,,,,Cc,CVM CCCVC,CVM CCCVC,10,0,0,A,,,,1,
morning,P\'m$-nIN\[CVV][CVC]\[mO:][nIN],,,,,Cc,CVVC CVM,CVVM CVC,10,0,0,N,,,,93,
mustard,P\'mV-st@d\[CV][CCVC]\[mV][st@d],,,,,Cc,CVC CRC,CVC CRC,10,0,0,N,,,,8,
napkin,P\'n{p-kIn\[CVC][CVC]\[n&p][kIn],,,,,Cc,CVC CVC,CVC CVC,10,0,0,N,,,,6,
